Title,Title20,Title29,ISSN,EISSN,Category name
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,ACTA MECH SINICA,0567-7718,1614-3116,ENGINEERING
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,ACTA MECH SOLIDA SINICA,0894-9166,1860-2134,ENGINEERING
ACTA MEDICA MEDITERRANEA,ACTA MEDICA MEDITERR,ACTA MEDICA MEDITERR,0393-6384,2283-9720,CLINICAL MEDICINE
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,ACTA MED OKAYAMA,0386-300X,0386-300X,CLINICAL MEDICINE
ACTA MEDICA PORTUGUESA,ACTA MEDICA PORT,ACTA MEDICA PORT,0870-399X,1646-0758,CLINICAL MEDICINE
ACTA METALLURGICA SINICA,ACTA METALL SIN,ACTA METALL SIN,0412-1961,,MATERIALS SCIENCE
ACTA METALLURGICA SINICA-ENGLISH LETTERS,ACTA METALL SIN-ENGL,ACTA METALL SIN-ENGL LETT,1006-7191,2194-1289,MATERIALS SCIENCE
ACTA METEOROLOGICA SINICA,ACTA METEOROL SIN,ACTA METEOROL SIN,0894-0525,2191-4788,GEOSCIENCES
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,ACTA MICROBIOL IMMUNOL HUNG,1217-8950,1588-2640,MICROBIOLOGY
ACTA MICROSCOPICA,ACTA MICROSC,ACTA MICROSC,0798-4545,2224-8927,BIOLOGY & BIOCHEMISTRY
ACTA MONTANISTICA SLOVACA,ACTA MONTAN SLOVACA,ACTA MONTAN SLOVACA,1335-1788,,GEOSCIENCES
ACTA NATURAE,ACTA NATURAE,ACTA NAT,2075-8251,2075-8251,MOLECULAR BIOLOGY & GENETICS
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,ACTA NEUROBIOL EXP,0065-1400,1689-0035,NEUROSCIENCE & BEHAVIOR
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,ACTA NEUROCHIR,0001-6268,0942-0940,CLINICAL MEDICINE
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,ACTA NEUROL BELG,0300-9009,2240-2993,NEUROSCIENCE & BEHAVIOR
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,ACTA NEUROL SCAND,0001-6314,1600-0404,NEUROSCIENCE & BEHAVIOR
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,ACTA NEUROPATHOL,0001-6322,1432-0533,NEUROSCIENCE & BEHAVIOR
ACTA NEUROPATHOLOGICA COMMUNICATIONS,ACTA NEUROPATHOL COM,ACTA NEUROPATHOL COMMUN,2051-5960,2051-5960,BIOLOGY & BIOCHEMISTRY
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,ACTA NEUROPSYCHIATR,1601-5215,1601-5215,NEUROSCIENCE & BEHAVIOR
ACTA NUMERICA,ACTA NUMER,ACTA NUMER,0962-4929,1474-0508,MATHEMATICS
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,ACTA OBSTET GYNECOL SCAND,0001-6349,1600-0412,CLINICAL MEDICINE
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,ACTA OCEANOL SIN,0253-505X,1869-1099,GEOSCIENCES
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,ACTA ODONTOL SCAND,0001-6357,1502-3850,CLINICAL MEDICINE
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,ACTA OECOL,1146-609X,1873-6238,ENVIRONMENT/ECOLOGY
ACTA OECONOMICA,ACTA OECON,ACTA OECON,0001-6373,1588-2659,ECONOMICS & BUSINESS
ACTA OF BIOENGINEERING AND BIOMECHANICS,ACTA BIOENG BIOMECH,ACTA BIOENG BIOMECH,1509-409X,,MOLECULAR BIOLOGY & GENETICS
ACTA ONCOLOGICA,ACTA ONCOL,ACTA ONCOL,0284-186X,1651-226X,CLINICAL MEDICINE
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,ACTA OPHTHALMOL,1755-375X,1755-3768,CLINICAL MEDICINE
ACTA ORNITHOLOGICA,ACTA ORNITHOL,ACTA ORNITHOL,0001-6454,1734-8471,PLANT & ANIMAL SCIENCE
ACTA ORTHOPAEDICA,ACTA ORTHOP,ACTA ORTHOP,1745-3674,1745-3682,CLINICAL MEDICINE
ACTA ORTHOPAEDICA BELGICA,ACTA ORTHOP BELG,ACTA ORTHOP BELG,0001-6462,0001-6462,CLINICAL MEDICINE
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,ACTA ORTHOP TRAUMATO,ACTA ORTHOP TRAUMATOL TURC,1017-995X,1017-995X,CLINICAL MEDICINE
ACTA ORTOPEDICA BRASILEIRA,ACTA ORTOP BRAS,ACTA ORTOP BRAS,1413-7852,1809-4406,CLINICAL MEDICINE
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,ACTA OTO-LARYNGOL,0001-6489,1651-2251,CLINICAL MEDICINE
ACTA OTORHINOLARYNGOLOGICA ITALICA,ACTA OTORHINOLARYNGO,ACTA OTORHINOLARYNGOL ITAL,0392-100X,1827-675X,CLINICAL MEDICINE
ACTA PAEDIATRICA,ACTA PAEDIATR,ACTA PAEDIAT,0803-5253,1651-2227,CLINICAL MEDICINE
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,ACTA PALAEONTOL POL,0567-7920,1732-2421,GEOSCIENCES
ACTA PARASITOLOGICA,ACTA PARASITOL,ACTA PARASITOL,1230-2821,1896-1851,MICROBIOLOGY
ACTA PAULISTA DE ENFERMAGEM,ACTA PAUL ENFERM,ACTA PAUL ENFERM,0103-2100,1982-0194,CLINICAL MEDICINE
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,ACTA PETR SIN,1000-0569,2095-8927,GEOSCIENCES
ACTA PHARMACEUTICA,ACTA PHARMACEUT,ACTA PHARMACEUT,1330-0075,1846-9558,PHARMACOLOGY & TOXICOLOGY
ACTA PHARMACEUTICA SINICA B,ACTA PHARM SIN B,ACTA PHARM SIN B,2211-3835,2211-3843,PHARMACOLOGY & TOXICOLOGY
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,ACTA PHARMACOL SIN,1671-4083,1745-7254,PHARMACOLOGY & TOXICOLOGY
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,ACTA PHYS POL A,0587-4246,1898-794X,PHYSICS
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,ACTA PHYS POL B,0587-4254,1509-5770,PHYSICS
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,ACTA PHYS SIN-CHINESE ED,1000-3290,,PHYSICS
ACTA PHYSICA SLOVACA,ACTA PHYS SLOVACA,ACTA PHYS SLOVACA,0323-0465,1336-040X,PHYSICS
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,ACTA PHYS-CHIM SIN,1000-6818,,CHEMISTRY
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,ACTA PHYSIOL PLANT,0137-5881,1861-1664,PLANT & ANIMAL SCIENCE
ACTA PHYSIOLOGICA,ACTA PHYSIOL,ACTA PHYSIOL,1748-1708,1748-1716,BIOLOGY & BIOCHEMISTRY
ACTA PHYSIOLOGICA HUNGARICA,ACTA PHYSIOL HUNG,ACTA PHYSIOL HUNG,0231-424X,1588-2683,BIOLOGY & BIOCHEMISTRY
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,ACTA PHYTOTAX GEOBOT,ACTA PHYTOTAXON GEOBOT,1346-7565,2189-7042,PLANT & ANIMAL SCIENCE
ACTA POLITICA,ACTA POLIT,ACTA POLIT,0001-6810,1741-1416,"SOCIAL SCIENCES, GENERAL"
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,ACTA POL PHARM,0001-6837,2353-5288,PHARMACOLOGY & TOXICOLOGY
ACTA POLYMERICA SINICA,ACTA POLYM SIN,ACTA POLYM SIN,****-****,1000-3304,CHEMISTRY
ACTA POLYTECHNICA HUNGARICA,ACTA POLYTECH HUNG,ACTA POLYTECH HUNG,1785-8860,1785-8860,ENGINEERING
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,ACTA PROTOZOOL,0065-1583,1689-0027,MICROBIOLOGY
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,ACTA PSYCHIAT SCAND,0001-690X,1600-0447,PSYCHIATRY/PSYCHOLOGY
ACTA PSYCHOLOGICA,ACTA PSYCHOL,ACTA PSYCHOL,0001-6918,1873-6297,PSYCHIATRY/PSYCHOLOGY
ACTA RADIOLOGICA,ACTA RADIOL,ACTA RADIOLOGICA,0284-1851,1600-0455,CLINICAL MEDICINE
ACTA REUMATOLOGICA PORTUGUESA,ACTA REUMATOL PORT,ACTA REUMATOL PORT,0303-464X,0303-464X,CLINICAL MEDICINE
ACTA SCIENTIAE VETERINARIAE,ACTA SCI VET,ACTA SCI VET,1678-0345,1679-9216,PLANT & ANIMAL SCIENCE
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,ACTA SCI POL-HORTORU,ACTA SCI POL-HORTORUM CULTUS,1644-0692,2545-1405,AGRICULTURAL SCIENCES
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,ACTA SCI-AGRON,1807-8621,1807-8621,AGRICULTURAL SCIENCES
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,ACTA SCI-TECHNOL,1806-2563,1807-8664,MULTIDISCIPLINARY
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,ACTA SOC BOT POL,0001-6977,2083-9480,PLANT & ANIMAL SCIENCE
ACTA SOCIOLOGICA,ACTA SOCIOL,ACTA SOCIOL,0001-6993,1502-3869,"SOCIAL SCIENCES, GENERAL"
ACTA THERIOLOGICA,ACTA THERIOL,ACTA THERIOL,0001-7051,2190-3743,PLANT & ANIMAL SCIENCE
ACTA TROPICA,ACTA TROP,ACTA TROP,0001-706X,1873-6254,CLINICAL MEDICINE
ACTA VETERINARIA BRNO,ACTA VET BRNO,ACTA VET BRNO,0001-7213,1801-7576,PLANT & ANIMAL SCIENCE
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,ACTA VET HUNG,0236-6290,1588-2705,PLANT & ANIMAL SCIENCE
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,ACTA VET SCAND,0044-605X,1751-0147,PLANT & ANIMAL SCIENCE
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,ACTA VET-BEOGRAD,0567-8315,1820-7448,PLANT & ANIMAL SCIENCE
ACTA VIROLOGICA,ACTA VIROL,ACTA VIROL,0001-723X,1336-2305,MICROBIOLOGY
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,ACTA ZOOL,0001-7272,1463-6395,PLANT & ANIMAL SCIENCE
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,ACTA ZOOL ACAD SCI HUNG,1217-8837,,PLANT & ANIMAL SCIENCE
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,ACTA ZOOL BULGAR,0324-0770,,PLANT & ANIMAL SCIENCE
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,ACTAS ESP PSIQUIATRIA,1139-9287,1578-2735,PSYCHIATRY/PSYCHOLOGY
ACTAS UROLOGICAS ESPANOLAS,ACTAS UROL ESP,ACTAS UROL ESP,0210-4806,1699-7980,CLINICAL MEDICINE
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,ACTES RECH SCI SOC,0335-5322,1955-2564,"SOCIAL SCIENCES, GENERAL"
ACTION RESEARCH,ACTION RES-LONDON,ACTION RES,1476-7503,1741-2617,"SOCIAL SCIENCES, GENERAL"
ACTIVE LEARNING IN HIGHER EDUCATION,ACT LEARN HIGH EDUC,ACT LEARN HIGH EDUC,1469-7874,1741-2625,"SOCIAL SCIENCES, GENERAL"
ACTUAL PROBLEMS OF ECONOMICS,ACTUAL PROBL ECON,ACTUAL PROBL ECON,1993-6788,,ECONOMICS & BUSINESS
ACTUALITE CHIMIQUE,ACTUAL CHIMIQUE,ACTUAL CHIMIQUE,0151-9093,2105-2409,CHEMISTRY
ACTUATORS,ACTUATORS,ACTUATORS,****-****,2076-0825,ENGINEERING
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,ACUPUNCTURE ELECTRO-THER RES,0360-1293,2167-9010,NEUROSCIENCE & BEHAVIOR
ACUPUNCTURE IN MEDICINE,ACUPUNCT MED,ACUPUNCT MED,0964-5284,1759-9873,CLINICAL MEDICINE
AD HOC & SENSOR WIRELESS NETWORKS,AD HOC SENS WIREL NE,AD HOC SENS WIREL NETW,1551-9899,1552-0633,COMPUTER SCIENCE
AD HOC NETWORKS,AD HOC NETW,AD HOC NETW,1570-8705,1570-8713,COMPUTER SCIENCE
ADANSONIA,ADANSONIA,ADANSONIA,1280-8571,1639-4798,PLANT & ANIMAL SCIENCE
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,ADAPT PHYS ACT QUART,0736-5829,1543-2777,CLINICAL MEDICINE
ADAPTIVE BEHAVIOR,ADAPT BEHAV,ADAPT BEHAV,1059-7123,1741-2633,PSYCHIATRY/PSYCHOLOGY
ADDICTION,ADDICTION,ADDICTION,0965-2140,1360-0443,CLINICAL MEDICINE
ADDICTION BIOLOGY,ADDICT BIOL,ADDICT BIOL,1355-6215,1369-1600,NEUROSCIENCE & BEHAVIOR
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,ADDICT RES THEORY,1606-6359,1476-7392,"SOCIAL SCIENCES, GENERAL"
ADDICTION SCIENCE & CLINICAL PRACTICE,ADDICT SCI CLIN PRAC,ADDICT SCI CLIN PRACT,1940-0640,1940-0640,CLINICAL MEDICINE
ADDICTIVE BEHAVIORS,ADDICT BEHAV,ADDICT BEHAV,0306-4603,1873-6327,PSYCHIATRY/PSYCHOLOGY
ADDITIVE MANUFACTURING,ADDIT MANUF,ADDIT MANUF,2214-8604,2214-7810,ENGINEERING
ADICCIONES,ADICCIONES,ADICCIONES,0214-4840,,CLINICAL MEDICINE
ADIPOCYTE,ADIPOCYTE,ADIPOCYTE,2162-3945,2162-397X,BIOLOGY & BIOCHEMISTRY
ADMINISTRATION & SOCIETY,ADMIN SOC,ADMIN SOC,0095-3997,1552-3039,"SOCIAL SCIENCES, GENERAL"
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,ADM POLICY MENT HLTH,ADMIN POLICY MENTAL HEALTH,0894-587X,1573-3289,"SOCIAL SCIENCES, GENERAL"
ADMINISTRATION IN SOCIAL WORK,ADMIN SOC WORK,ADMIN SOC WORK,0364-3107,1544-4376,"SOCIAL SCIENCES, GENERAL"
ADMINISTRATIVE LAW REVIEW,ADMIN LAW REV,ADMIN LAW REV,0001-8368,2326-9154,"SOCIAL SCIENCES, GENERAL"
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,ADMIN SCI QUART,0001-8392,1930-3815,ECONOMICS & BUSINESS
ADOLESCENT RESEARCH REVIEW,ADOLESC RES REV,ADOLESC RES REV,2363-8346,2363-8354,"SOCIAL SCIENCES, GENERAL"
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,ADSORPT SCI TECHNOL,0263-6174,2048-4038,CHEMISTRY
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,ADSORPTION,0929-5607,1572-8757,CHEMISTRY
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,ADULT EDUC QUART,0741-7136,1552-3047,"SOCIAL SCIENCES, GENERAL"
ADVANCED BIOLOGY,ADV BIOL-GER,ADV BIOL,2701-0198,2701-0198,MATERIALS SCIENCE
ADVANCED BIOSYSTEMS,ADV BIOSYST,ADV BIOSYST,****-****,2366-7478,MATERIALS SCIENCE
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,ADV COMPOS MATER,0924-3046,1568-5519,MATERIALS SCIENCE
ADVANCED COMPOSITES AND HYBRID MATERIALS,ADV COMPOS HYBRID MA,ADV COMPOS HYBRID MATER,2522-0128,2522-0136,MATERIALS SCIENCE
ADVANCED COMPOSITES LETTERS,ADV COMPOS LETT,ADV COMPOS LETT,0963-6935,2633-366X,MATERIALS SCIENCE
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,ADVAN DRUG DELIVERY REV,0169-409X,1872-8294,PHARMACOLOGY & TOXICOLOGY
ADVANCED ELECTRONIC MATERIALS,ADV ELECTRON MATER,ADV ELECTRON MATER,2199-160X,2199-160X,MATERIALS SCIENCE
ADVANCED ENERGY MATERIALS,ADV ENERGY MATER,ADV ENERGY MATER,1614-6832,1614-6840,MATERIALS SCIENCE
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,ADV ENG INFORM,1474-0346,1873-5320,ENGINEERING
ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,ADV ENG MATER,1438-1656,1527-2648,MATERIALS SCIENCE
ADVANCED FIBER MATERIALS,ADV FIBER MATER,ADV FIBER MATER,2524-7921,2524-793X,MATERIALS SCIENCE
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,ADV FUNCT MATER,1616-301X,1616-3028,MATERIALS SCIENCE
ADVANCED HEALTHCARE MATERIALS,ADV HEALTHC MATER,ADV HEALTHC MATER,2192-2640,2192-2659,MATERIALS SCIENCE
ADVANCED INTELLIGENT SYSTEMS,ADV INTELL SYST-GER,ADV INTELL SYST,****-****,2640-4567,ENGINEERING
ADVANCED MATERIALS,ADV MATER,ADVAN MATER,0935-9648,1521-4095,MATERIALS SCIENCE
ADVANCED MATERIALS & PROCESSES,ADV MATER PROCESS,ADVAN MATER PROCESS,0882-7958,2161-9425,MATERIALS SCIENCE
ADVANCED MATERIALS INTERFACES,ADV MATER INTERFACES,ADV MATER INTERFACES,2196-7350,2196-7350,MATERIALS SCIENCE
ADVANCED MATERIALS TECHNOLOGIES,ADV MATER TECHNOL-US,ADV MATER TECHNOL,2365-709X,2365-709X,MATERIALS SCIENCE
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,ADV NONLINEAR STUD,1536-1365,2169-0375,MATHEMATICS
ADVANCED OPTICAL MATERIALS,ADV OPT MATER,ADV OPT MATER,2195-1071,2195-1071,MATERIALS SCIENCE
ADVANCED PHOTONICS,ADV PHOTONICS,ADV PHOTONICS,****-****,2577-5421,PHYSICS
ADVANCED POWDER TECHNOLOGY,ADV POWDER TECHNOL,ADVANCED POWDER TECHNOL,0921-8831,1568-5527,CHEMISTRY
ADVANCED QUANTUM TECHNOLOGIES,ADV QUANTUM TECHNOL,ADV QUANTUM TECHNOL,****-****,2511-9044,PHYSICS
ADVANCED ROBOTICS,ADV ROBOTICS,ADVANCED ROBOTICS,0169-1864,1568-5535,ENGINEERING
ADVANCED SCIENCE,ADV SCI,ADVANCED SCI,****-****,2198-3844,PHYSICS
ADVANCED STEEL CONSTRUCTION,ADV STEEL CONSTR,ADV STEEL CONSTR,1816-112X,,ENGINEERING
ADVANCED SUSTAINABLE SYSTEMS,ADV SUSTAIN SYST,ADV SUSTAIN SYST,2366-7486,2366-7486,MATERIALS SCIENCE
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,ADV SYNTH CATAL,1615-4150,1615-4169,CHEMISTRY
ADVANCED THEORY AND SIMULATIONS,ADV THEOR SIMUL,ADV THEORY SIMUL,****-****,2513-0390,MULTIDISCIPLINARY
ADVANCED THERAPEUTICS,ADV THER-GERMANY,ADV THERAP,****-****,2366-3987,PHARMACOLOGY & TOXICOLOGY
ADVANCEMENTS OF MICROBIOLOGY,ADV MICROBIOL-NY,ADV MICROBIOL,0079-4252,2545-3149,MICROBIOLOGY
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,ADV ANAT PATHOL,1072-4109,1533-4031,CLINICAL MEDICINE
ADVANCES IN APPLIED CERAMICS,ADV APPL CERAM,ADV APPL CERAM,1743-6753,1743-6761,MATERIALS SCIENCE
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,ADV APPL CLIFFORD AL,ADV APPL CLIFFORD ALGEBR,0188-7009,1661-4909,MATHEMATICS
ADVANCES IN APPLIED MATHEMATICS,ADV APPL MATH,ADVAN APPL MATH,0196-8858,1090-2074,MATHEMATICS
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,ADV APPL MATH MECH,ADV APPL MATH MECH,2070-0733,2075-1354,MATHEMATICS
ADVANCES IN APPLIED PROBABILITY,ADV APPL PROBAB,ADVAN APPL PROBAB,0001-8678,1475-6064,MATHEMATICS
ADVANCES IN ASTRONOMY,ADV ASTRON,ADV ASTRON,1687-7969,1687-7977,SPACE SCIENCE
ADVANCES IN ATMOSPHERIC SCIENCES,ADV ATMOS SCI,ADV ATMOS SCI,0256-1530,1861-9533,GEOSCIENCES
ADVANCES IN CALCULUS OF VARIATIONS,ADV CALC VAR,ADV CALC VAR,1864-8258,1864-8266,MATHEMATICS
ADVANCES IN CEMENT RESEARCH,ADV CEM RES,ADV CEM RES,0951-7197,1751-7605,MATERIALS SCIENCE
ADVANCES IN CHRONIC KIDNEY DISEASE,ADV CHRONIC KIDNEY D,ADV CHRONIC KIDNEY DIS,1548-5595,1548-5609,CLINICAL MEDICINE
ADVANCES IN CIVIL ENGINEERING,ADV CIV ENG,ADV CIV ENG,1687-8086,1687-8094,ENGINEERING
ADVANCES IN CLIMATE CHANGE RESEARCH,ADV CLIM CHANG RES,ADV CLIM CHANG RES,1674-9278,1674-9278,GEOSCIENCES
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,ADV CLIN EXP MED,ADV CLIN EXP MED,1899-5276,2451-2680,CLINICAL MEDICINE
ADVANCES IN COGNITIVE PSYCHOLOGY,ADV COGN PSYCHOL,ADV COGN PSYCHOL,1895-1171,1895-1171,PSYCHIATRY/PSYCHOLOGY
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,ADVAN COLLOID INTERFACE SCI,0001-8686,1873-3727,CHEMISTRY
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,ADV COMPLEX SYST,0219-5259,1793-6802,MATHEMATICS
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,ADV COMPUT MATH,1019-7168,1572-9044,MATHEMATICS
ADVANCES IN CONCRETE CONSTRUCTION,ADV CONCR CONSTR,ADV CONCR CONSTR,2287-5301,2287-531X,MATERIALS SCIENCE
ADVANCES IN CONDENSED MATTER PHYSICS,ADV COND MATTER PHYS,ADV CONDENS MATTER PHYS,1687-8108,1687-8124,PHYSICS
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,ADV DATA ANAL CLASSI,ADV DATA ANAL CLASSIF,1862-5347,1862-5355,MATHEMATICS
ADVANCES IN DIFFERENCE EQUATIONS,ADV DIFFER EQU-NY,ADV DIFFER EQU,1687-1847,1687-1847,MATHEMATICS
ADVANCES IN DIFFERENTIAL EQUATIONS,ADV DIFFERENTIAL EQU,ADV DIFFER EQUAT,1079-9389,1079-9389,MATHEMATICS
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,ADV ELECTR COMPUT EN,ADV ELECTR COMPUT ENG,1582-7445,1844-7600,ENGINEERING
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,ADV ENG SOFTW,0965-9978,1873-5339,COMPUTER SCIENCE
ADVANCES IN GEOMETRY,ADV GEOM,ADV GEOM,1615-715X,1615-7168,MATHEMATICS
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,ADV HEALTH SCI EDUC,1382-4996,1573-1677,"SOCIAL SCIENCES, GENERAL"
ADVANCES IN HIGH ENERGY PHYSICS,ADV HIGH ENERGY PHYS,ADV HIGH ENERGY PHYS,1687-7357,1687-7365,PHYSICS
ADVANCES IN LIFE COURSE RESEARCH,ADV LIFE COURSE RES,ADV LIFE COURSE RES,1040-2608,1040-2608,"SOCIAL SCIENCES, GENERAL"
ADVANCES IN MANUFACTURING,ADV MANUF,ADV MANUF,2095-3127,2195-3597,ENGINEERING
ADVANCES IN MATERIALS SCIENCE AND ENGINEERING,ADV MATER SCI ENG,ADV MATER SCI ENG,1687-8434,1687-8442,MATERIALS SCIENCE
ADVANCES IN MATHEMATICAL PHYSICS,ADV MATH PHYS,ADV MATH PHYS,1687-9120,1687-9139,PHYSICS
ADVANCES IN MATHEMATICS,ADV MATH,ADVAN MATH,0001-8708,1090-2082,MATHEMATICS
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,ADV MATH COMMUN,ADV MATH COMMUN,1930-5346,1930-5338,MATHEMATICS
ADVANCES IN MECHANICAL ENGINEERING,ADV MECH ENG,ADV MECH ENG,1687-8132,1687-8140,ENGINEERING
ADVANCES IN MEDICAL SCIENCES,ADV MED SCI-POLAND,ADV MED SCI,1896-1126,1898-4002,CLINICAL MEDICINE
ADVANCES IN METEOROLOGY,ADV METEOROL,ADV METEOROL,1687-9309,1687-9317,GEOSCIENCES
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,ADV METH PRACT PSYCH,ADV METHODS PRACT PSYCH SCI,2515-2459,2515-2467,PSYCHIATRY/PSYCHOLOGY
ADVANCES IN NANO RESEARCH,ADV NANO RES,ADV NANO RES,2287-237X,2287-2388,MATERIALS SCIENCE
ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY,ADV NAT SCI-NANOSCI,ADV NAT SCI-NANOSCI NANOTECHN,2043-6254,2043-6262,MATERIALS SCIENCE
ADVANCES IN NEONATAL CARE,ADV NEONAT CARE,ADV NEONATAL CARE,1536-0903,1536-0911,CLINICAL MEDICINE
ADVANCES IN NONLINEAR ANALYSIS,ADV NONLINEAR ANAL,ADV NONLINEAR ANAL,2191-9496,2191-950X,MATHEMATICS
ADVANCES IN NURSING SCIENCE,ADV NURS SCI,ADVAN NURS SCI,0161-9268,1550-5014,CLINICAL MEDICINE
ADVANCES IN NUTRITION,ADV NUTR,ADV NUTR,2161-8313,2156-5376,BIOLOGY & BIOCHEMISTRY
ADVANCES IN OPTICS AND PHOTONICS,ADV OPT PHOTONICS,ADV OPT PHOTONICS,1943-8206,,PHYSICS
ADVANCES IN PHYSICS,ADV PHYS,ADVAN PHYS,0001-8732,1460-6976,PHYSICS
ADVANCES IN PHYSICS-X,ADV PHYS-X,ADV PHYS-X,2374-6149,2374-6149,PHYSICS
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,ADV PHYSIOL EDUC,1043-4046,1522-1229,"SOCIAL SCIENCES, GENERAL"
ADVANCES IN POLYMER TECHNOLOGY,ADV POLYM TECH,ADV POLYM TECHNOL,0730-6679,1098-2329,CHEMISTRY
ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT,ADV PROD ENG MANAG,ADV PROD ENG MANAG,1854-6250,1855-6531,ENGINEERING
ADVANCES IN RHEUMATOLOGY,ADV RHEUMATOL,ADV RHEUMATOL,2523-3106,2523-3106,CLINICAL MEDICINE
ADVANCES IN SKIN & WOUND CARE,ADV SKIN WOUND CARE,ADV SKIN WOUND CARE,1527-7941,1538-8654,CLINICAL MEDICINE
ADVANCES IN SPACE RESEARCH,ADV SPACE RES,ADV SPACE RES,0273-1177,1879-1948,SPACE SCIENCE
